country;WBcode;ICRGname;ICSIDname;ICSID2name;ICSIDalt
Albania;ALB;Albania;Republic of Albania;Albanian;
Algeria;DZA;Algeria;People's Democratic Republic of Algeria;;
Angola;AGO;Angola;;;
Argentina;ARG;Argentina;Argentine Republic;Argentina;
Armenia;ARM;Armenia;Republic of Armenia;;
Australia;AUS;Australia;;Australian;
Austria;AUT;Austria;;Austrian;
Azerbaijan;AZE;Azerbaijan;Republic of Azerbaijan;;
Bangladesh;BGD;Bangladesh;People's Republic of Bangladesh;Bangladesh;
Belgium;BEL;Belgium;Kingdom of Belgium;Belgian;
Bolivia;BOL;Bolivia;Plurinational State of Bolivia;Bolivian;Republic of Bolivia
Botswana;BWA;Botswana;;;
Brazil;BRA;Brazil;;;
Bulgaria;BGR;Bulgaria;Republic of Bulgaria;Bulgarian;
Burkina Faso;BFA;Burkina Faso;;;
Burundi;BDI;;Republic of Burundi;Burundi;
Cameroon;CMR;Cameroon;Republic of Cameroon;;
Canada;CAN;Canada;;Canadian;
Chile;CHL;Chile;Republic of Chile;Chilean;
China;CHN;China;People's Republic of China;Chinese;
Colombia;COL;Colombia;;;
Congo, Democratic Republic;ZAR;Congo, DR;Democratic Republic of the Congo;Congolese D.R.;
Congo, Republic;COG;Congo;People's Republic of the Congo;Congo;Republic of Congo
Costa Rica;CRI;Costa Rica;Republic of Costa Rica;Costa Rican;
Côte d'Ivoire;CIV;Cote d'Ivoire;;;
Croatia;HRV;Croatia;Republic of Croatia;Croatian;
Czech Republic;CZE;Czech Republic;;Czech;
Denmark;DNK;Denmark;;Danish;
Dominican Republic;DOM;Dominican Republic;;;
Ecuador;ECU;Ecuador;Republic of Ecuador;Ecuadoran;
Egypt;EGY;Egypt;Arab Republic of Egypt;Egyptian;
El Salvador;SLV;El Salvador;Republic of El Salvador;;
Equatorial Guinea;GNQ;;Republic of Equatorial Guinea;Equatorial Guinean;
Estonia;EST;Estonia;Republic of Estonia;Estonian;
Ethiopia;ETH;Ethiopia;;;
Finland;FIN;Finland;;Finnish;
France;FRA;France;French Republic;French;
Gambia;GMB;Gambia;Republic of The Gambia;;
Germany;DEU;Germany;Federal Republic of Germany;German;
Georgia;GEO;;Republic of Georgia;;
