"","X","Case.No.","Claimant.s.","Respondent.s.","Status","claimants","outcome","registered","bit","instrument","claim_id","reg_year","out_year","bit_claim","nafta_claim","other_claim","claimants_nat","resp_state_comp","respondents_nat","host","source"
"1",4,"ARB/15/30","Samsung Engineering Co., Ltd.","Sultanate of Oman","Pending","Samsung Engineering Co.,  Ltd. (Korean)","","July 20, 2015","BIT Korea,  Republic of - Oman 2003","",535,2015,NA,1,0,0,"Korean",0,"Sultanate of Oman","OMN","KOR"
"2",6,"ARB/15/29","Cortec Mining Kenya Limited, Cortec (Pty) Limited and Stirling Capital Limited","Republic of Kenya","Pending","Cortec Mining Kenya Limited (Kenyan), Cortec (Pty) Limited  (British), Stirling Capital Limited (British)","","July 7, 2015","BIT United Kingdom of Great Britain and Northern Ireland - Kenya 1999","",533,2015,NA,1,0,0,"British",0,"Republic of Kenya","KEN","GBR"
"3",8,"ARB/15/27","JGC Corporation","Kingdom of Spain","Pending"," JGC Corporation (Japanese)","","June 22, 2015","","ECT (Energy Charter Treaty)",531,2015,NA,0,0,1,"Japanese",0,"Kingdom of Spain","ESP","JPN"
"4",9,"ARB/15/25","KS Invest GmbH and TLS Invest GmbH","Kingdom of Spain","Pending","KS Invest GmbH (German), TLS Invest GmbH (German)","","June 16, 2015","","ECT (Energy Charter Treaty)",530,2015,NA,0,0,1,"German",0,"Kingdom of Spain","ESP","DEU"
"5",10,"ARB/15/26","Nabucco Gas Pipeline International GmbH in Liqu.","Republic of Turkey","Pending","Nabucco Gas Pipeline International GmbH in Liqu. (Austrian)","","June 16, 2015","BIT Austria - Turkey 1988","",529,2015,NA,1,0,0,"Austrian",0,"Republic of Turkey","TUR","AUT"
"6",13,"ARB/15/23","Matthias Kruck and others","Kingdom of Spain","Pending","Matthias Kruck  (German), Ralf Hofmann (German), Frank Schumm (German), Joachim Kruck (German), Peter Flachsmann (German), Rolf Schumm (German), Karsten Reiss (German), Jürgen Reiss (German)","","June 4, 2015","","ECT (Energy Charter Treaty)",526,2015,NA,0,0,1,"German",0,"Kingdom of Spain","ESP","DEU"
"7",14,"ARB/15/20","Cube Infrastructure Fund SICAV and others","Kingdom of Spain","Pending","Cube Infrastructure Fund SICAV (Luxembourg), Cube Energy S.C.A. (Luxembourg), Cube Infrastructure Managers S.A. (Luxembourg), Demeter 2 FPCI (French), Demeter Partners S.A. (French)","","June 1, 2015","","ECT (Energy Charter Treaty)",525,2015,NA,0,0,1,"Luxembourg",0,"Kingdom of Spain","ESP","LUX"
"8",14,"ARB/15/20","Cube Infrastructure Fund SICAV and others","Kingdom of Spain","Pending","Cube Infrastructure Fund SICAV (Luxembourg), Cube Energy S.C.A. (Luxembourg), Cube Infrastructure Managers S.A. (Luxembourg), Demeter 2 FPCI (French), Demeter Partners S.A. (French)","","June 1, 2015","","ECT (Energy Charter Treaty)",525,2015,NA,0,0,1,"French",0,"Kingdom of Spain","ESP","FRA"
"9",15,"ARB/15/21","Menzies Middle East and Africa S.A. and Aviation Handling Services International Ltd.","Republic of Senegal","Pending","Menzies Middle East and Africa S.A. (Dutch), Aviation Handling Services International Ltd. (British)","","June 1, 2015","BIT United Kingdom of Great Britain and Northern Ireland - Senegal 1980, BIT Senegal - Netherlands 1979, ","Investment Law - Senegal (2004), GATS",524,2015,NA,1,0,0,"Dutch",0,"Republic of Senegal","SEN","NLD"
"10",15,"ARB/15/21","Menzies Middle East and Africa S.A. and Aviation Handling Services International Ltd.","Republic of Senegal","Pending","Menzies Middle East and Africa S.A. (Dutch), Aviation Handling Services International Ltd. (British)","","June 1, 2015","BIT United Kingdom of Great Britain and Northern Ireland - Senegal 1980, BIT Senegal - Netherlands 1979, ","Investment Law - Senegal (2004), GATS",524,2015,NA,1,0,0,"British",0,"Republic of Senegal","SEN","GBR"
