"","Case No.","Claimant(s)","Respondent(s)","Status","claimants","outcome","registered","bit","instrument","claim_id"
"1","ARB/15/33","Gilward Investments B.V.","Ukraine","Pending","Gilward Investments B.V. (nationality not available)","","July 31, 2015","","",538
"2","ARB/15/32","B.V. Belegging-Maatschappij “Far East”","Republic of Austria","Pending","B.V. Belegging-Maatschappij “Far East” (nationality not available)","","July 30, 2015","","",537
"3","ARB/15/31","Gabriel Resources Ltd. and Gabriel Resources (Jersey)","Romania","Pending","Gabriel Resources Ltd.  (nationality not available), Gabriel Resources (Jersey) (nationality not available)","","July 30, 2015","","",536
"4","ARB/15/30","Samsung Engineering Co., Ltd.","Sultanate of Oman","Pending","Samsung Engineering Co.,  Ltd. (Korean)","","July 20, 2015","BIT Korea,  Republic of - Oman 2003","",535
"5","ARB(AF)/15/1","Strabag SE","Libya","Pending","Strabag SE  (nationality not available)","","July 20, 2015","","",534
"6","ARB/15/29","Cortec Mining Kenya Limited, Cortec (Pty) Limited and Stirling Capital Limited","Republic of Kenya","Pending","Cortec Mining Kenya Limited (Kenyan), Cortec (Pty) Limited  (British), Stirling Capital Limited (British)","","July 7, 2015","BIT United Kingdom of Great Britain and Northern Ireland - Kenya 1999","",533
"7","ARB/15/28","Hydro S.r.l. and others","Republic of Albania","Pending","Hydro S.r.l. (nationality not available), Costruzioni S.r.l. (nationality not available), Francesco Becchetti (nationality not available), Mauro De Renzis (nationality not available), Stefania Grigolon (nationality not available), Liliana Condomitti (nationality not available)","","June 29, 2015","","",532
"8","ARB/15/27","JGC Corporation","Kingdom of Spain","Pending"," JGC Corporation (Japanese)","","June 22, 2015","","ECT (Energy Charter Treaty)",531
"9","ARB/15/25","KS Invest GmbH and TLS Invest GmbH","Kingdom of Spain","Pending","KS Invest GmbH (German), TLS Invest GmbH (German)","","June 16, 2015","","ECT (Energy Charter Treaty)",530
"10","ARB/15/26","Nabucco Gas Pipeline International GmbH in Liqu.","Republic of Turkey","Pending","Nabucco Gas Pipeline International GmbH in Liqu. (Austrian)","","June 16, 2015","BIT Austria - Turkey 1988","",529
"11","ARB/15/24","Ali Alyafei","Hashemite Kingdom of Jordan","Pending","Ali Alyafei (Qatari)","","June 11, 2015","BIT Italy - Jordan 1996, ","The Unified Agreement for the Investment of Arab Capital in the Arab States 1980",528
"12","ARB/15/22","ACP Axos Capital GmbH","Republic of Kosovo","Pending","ACP Axos Capital GmbH (German)","","June 4, 2015","BIT Germany - Yugoslavia,  Federal Republic of 1989, ","Investment Law - KOSOVO (2014)",527
"13","ARB/15/23","Matthias Kruck and others","Kingdom of Spain","Pending","Matthias Kruck  (German), Ralf Hofmann (German), Frank Schumm (German), Joachim Kruck (German), Peter Flachsmann (German), Rolf Schumm (German), Karsten Reiss (German), Jürgen Reiss (German)","","June 4, 2015","","ECT (Energy Charter Treaty)",526
"14","ARB/15/20","Cube Infrastructure Fund SICAV and others","Kingdom of Spain","Pending","Cube Infrastructure Fund SICAV (Luxembourg), Cube Energy S.C.A. (Luxembourg), Cube Infrastructure Managers S.A. (Luxembourg), Demeter 2 FPCI (French), Demeter Partners S.A. (French)","","June 1, 2015","","ECT (Energy Charter Treaty)",525
"15","ARB/15/21","Menzies Middle East and Africa S.A. and Aviation Handling Services International Ltd.","Republic of Senegal","Pending","Menzies Middle East and Africa S.A. (Dutch), Aviation Handling Services International Ltd. (British)","","June 1, 2015","BIT United Kingdom of Great Britain and Northern Ireland - Senegal 1980, BIT Senegal - Netherlands 1979, ","Investment Law - Senegal (2004), GATS",524
"16","ARB/15/19","ENERGO-PRO a.s.","Republic of Bulgaria","Pending","ENERGO-PRO a.s. (Czech)","","May 26, 2015","BIT Czech Republic - Bulgaria 1999, ","ECT (Energy Charter Treaty)",523
"17","ARB/15/18","Capital Financial Holdings Luxembourg S.A.","Republic of Cameroon","Pending","Capital Financial Holdings Luxembourg S.A. (nationality not available)","","May 20, 2015","","",522
"18","ARB/15/17","Hanocal Holding B.V. and IPIC International B.V.","Republic of Korea","Pending","Hanocal Holding B.V. (Dutch), IPIC International B.V. (Dutch)","","May 20, 2015","BIT Netherlands - Korea,  Republic of 2003","",521
"19","ARB/15/16","BayWa r.e. Renewable Energy GmbH and BayWa r.e. Asset Holding GmbH","Kingdom of Spain","Pending","BayWa r.e. Renewable Energy GmbH (German), BayWa r.e. Asset Holding GmbH (German)","","May 8, 2015","","ECT (Energy Charter Treaty)",520
"20","ARB/15/15","9REN Holding S.a.r.l","Kingdom of Spain","Pending","9REN Holding S.a.r.l (Luxembourg)","","April 21, 2015","","ECT (Energy Charter Treaty)",519
"21","ARB/15/14","Álvarez y Marín Corporación S.A. and others","Republic of Panama","Pending","Álvarez y Marín Corporación S.A. (Costa Rican), Mr. Cornelis Willem van Noordenne (Dutch), Estudios Tributarios AP S.A. (Costa Rican), Stichting Administratiekantoor Anbadi (Dutch), Mr. Bartus van Noordenne (Dutch)","","April 20, 2015","BIT Netherlands - Panama 2000, ","FTA Central America - Panama 2002",518
"22","ARB/15/13","Devincci Salah Hourani and Issam Salah Hourani","Republic of Kazakhstan","Pending","Mr. Issam Salah Hourani (nationality not available)","","April 16, 2015","","",517
"23","ARB/15/12","PT Ventures, SGPS, S.A.","Republic of Cabo Verde","Pending","PT Ventures,  SGPS,  S.A. (Portuguese)","","April 14, 2015","BIT Cabo Verde - Portugal 1990","",516
"24","ARB/15/11","Total E&P Uganda BV","Republic of Uganda","Pending","Total E&P Uganda BV (Dutch)","","March 20, 2015","BIT Netherlands - Uganda 2000, ","Contract",515
"25","ARB/15/10","Orange SA","Hashemite Kingdom of Jordan","Pending","Orange SA (French)","","March 13, 2015","BIT Jordan - France 1978, ","Investment Law - Jordan (1995)",514
"26","ARB/15/9","Poltava Gas B.V. and Poltava Petroleum Company","Ukraine","Pending"," Poltava Gas B.V. (Dutch), Poltava Petroleum Company (Ukrainian)","","March 11, 2015","BIT Netherlands - Ukraine 1994","",513
"27","ARB/15/8","Aktau Petrol Ticaret A.S. and Som Petrol Ticaret A.S.","Republic of Kazakhstan","Pending","Aktau Petrol Ticaret A.S. (Turkish), Som Petrol Ticaret A.S. (Turkish)","","March 6, 2015","BIT Turkey - Kazakhstan 1992, ","ECT (Energy Charter Treaty)",512
"28","ARB/15/7","WalAm Energy Inc.","Republic of Kenya","Pending","WalAm Energy Inc. (Canadian)","","February 23, 2015","","Contract",511
"29","ARB/15/6","Mobil Investments Canada Inc.","Canada","Pending"," Mobil Investments Canada Inc. (U.S.)","","February 18, 2015","","NAFTA (North American Free Trade Agreement)",510
"30","ARB/15/5","B3 Croatian Courier Coöperatief U.A.","Republic of Croatia","Pending","B3 Croatian Courier Coöperatief U.A.  (Dutch)","","February 3, 2015","BIT Croatia - Netherlands 1998","",509
"31","ARB/15/4","STEAG GmbH","Kingdom of Spain","Pending","STEAG GmbH (German)","","January 21, 2015","","ECT (Energy Charter Treaty)",508
"32","UNCT/15/1","A11Y LTD.","Czech Republic","Pending","A11Y LTD. (British)","","January 16, 2015","BIT United Kingdom of Great Britain and Northern Ireland - Czech Republic 1990","",507
"33","ARB/15/3","Abed El Jaouni and Imperial Holding SAL","Lebanese Republic","Pending","Abed El Jaouni (German), Imperial Holding SAL (Lebanese)","","January 16, 2015","BIT Lebanon - Germany 1997","",506
"34","ARB/15/2","Lighthouse Corporation Pty Ltd and Lighthouse Corporation Ltd, IBC","Democratic Republic of Timor-Leste","Pending","Lighthouse Corporation Pty Ltd (Australian),  Lighthouse Corporation Ltd,  IBC (Seychelles)","","January 14, 2015","","Contract, Investment Law - Timor-Leste  (2005)",505
"35","ARB/15/1","Stadtwerke München GmbH, RWE Innogy GmbH, and others","Kingdom of Spain","Pending","Stadtwerke München GmbH (German), RWE Innogy GmbH (German), RheinEnergie AG (German), AS 3 Beteiligungs GmbH (German), Ferrostaal Industrial Projects GmbH (German), Ferranda GmbH (German), Andasol Fonds GmbH & Co. KG (German), Andasol 3 Kraftwerks GmbH (German), Marquesado Solar S.L. (Spanish)","","January 7, 2015","","ECT (Energy Charter Treaty)",504
"36","ARB/14/35","Baymina Enerji Anonim Sirketi","Boru Hatlari ile Petrol Tasima Anonim Sirketi","Pending","Baymina Enerji Anonim Sirketi (Turkish)","","December 30, 2014","","Contract",503
